id,spoiler
0,a kidney
1,"'Although givers are the most valuable people in organizations, they’re also at the greatest risk for burnout'"
2,Meditating inside a beautiful stock-photo room filled with plants
3,Braconid
4,"grating them just like cheese over pasta, salads, avocado toast, popcorn, or even scrambled eggs"
5,"Selections from Williams' ""Star Wars"" scores"
6,"1. Take a long, warm shower with sweet-smelling essential oils."
7,"Flynn the dog does a lot to help out his 17-year-old human, Hailey Ashmore"
8,Lord Ivar Mountbatten
9,saving and investing about 70% of his after-tax income
10,"""Who is watching your kids?"""
11,authenticity
12,Celia Cruz
13,"""People talk a lot and they know little,"""
14,"spends his time making up job applications so he can continue to receive unemployment benefits and try to coax money out of his aging uncle, who has a colostomy bag and does little but eat fatty meals in front of daytime TV."
15,$117 billion
16,the swine transformation represented the greed that took place during Japan's bubble economy of the 80s.
17,Art Basel Global Director Marc Spiegler joins CNN Style as guest editor. He's commissioning a series of features on the topic of art and technology.
18,1. Get an education
19,New York
20,Michael Sam
21,"Police in western Sweden initially thought a man whose car was stuck in the snow was Danish, but after a while they realized he was slurring his words because he was drunk."
22,"e-commerce is Entertainment Shopping, auction sites selling high-tech and luxury products from stocks clearance, directly from the warehouses of distributors and manufacturers, with incredible discounts."
23,longline yellow raincoat
24,raise awareness about a very important issue
25,"Well, the fan said she’s going to do it anyway"
26,"The officers finished up their meals, but when they looked at the bill — a total of 123 different items — a total of 123 different items — a total of 123 different items"
27,"Most Americans think climate change, and more frequent and severe natural disasters are linked, according to a new HuffPost/YouGov poll that finds most Americans think human activity is at least partially responsible for the changing climate."
28,"nearly insurmountable 134,000 vote lead"
29,Y Combinator
30,1. Economic participation and opportunity
31,he is giving his owner some seriously relentless side-eye
32,Tesco
33,"not only does it give you serious bang for the buck by including 30 popular Nintendo games for a suggested retail price of just $60, but it allows people to stop using emulators or figuring out ways to get their original console to work with today’s TV tech."
34,"Since 1977, the price of college textbooks has more than tripled the rate of inflation, meaning a 1,041% rise"
35,"listens to ""a bunch of different things"" at the gym, he keeps them all organized in one spot."
36,Laziness
37,"Austin, Texas"
38,"ALS has left him with a permanent disability, requiring him to take daily medication, undergo regular physical therapy, and undergo a number of physical and mental rehabilitation sessions."
39,YInMn blue
40,blue
41,"It is a form of apophenia, when people see patterns in random, unconnected data"
42,"""Parenthood,"""
43,"New York City has the highest population density in the US, and with 8,550,405 people roaming the nation’s melting pot, it’s bound to get smelly."
44,raccoons
45,Jason Aldean
46,The Prisoner of Azkaban
47,182 lists
48,"I’m not giving away too much, I want people to see it first."
49,who in their right mind thinks it’s a good idea to request that our kids purchase Expo markers in bulk or boxes of Kleenex that should be supplied already
50,Rodgers earned the role on his talent alone
51,The Awakening is a turn-based 4x strategic survival game inspired by Slavic mythology that came out late last year. It was made by four people with a bit of aid from a publishing partner.
52,"it's only beloved by the coastal media elite, because it's about rich white men who live glamorous lives and work in advertising"
53,1. Eat legumes
54,At least in Pennsylvania
55,"many of the stranded whales stomachs were actually filled to the brim with plastic debris, which includes a 70 cm piece of plastic known to be apart of a car, a 13-meter-long fishing net, and a variety of other plastic debris that was found as well"
56,the number of remarried adults in the US has hit 42 million
57,"Amber Galloway Gallego is not your everyday American Sign Language (ASL) interpreter — she specialises in the interpretation of music, in real time and in front of thousands of people."
58,"Kili the Senegal parrot has somehow managed to become a master at ""playing dead."""
59,Miley Cyrus
60,"The items on the lengthy checklist include childhood favorites, such as going on a bike or scooter ride, eating ice cream or candy and watching a favorite TV program."
61,"Step 1: At first, you’ll need to use the items in normal ways. Simply use the Lucky Egg to gain double XP for the next 30 minutes, or use the Incense to attract Pokemon towards your location. You can either use both these items together or use one at a time."
